Number	Datei	Textsorte	Jahr	Kontext_links	Keyword	Kontext_rechts	Lemma
153688	137.xml	CB	1668	  schaden zufuͤgen " helfen Worauf der Abt geantwortet " Herr von Basel wie hat es S Gall um unser liebe 	Frau	 verdient daß ihr ihm seinen " Wein welchen Ritter und Knecht " haͤtten austrinken sollen abgenommen " Nach diesem begaben	Frau
197656	147.xml	UN	1684	  Nic gibts ihm Mops Guten Tag Hr kluger Mann Nic Das war ein Titul vor einen Hof--Poeten Grossen Danck kluge 	Frau	 Mops O ihr seht mich vor die unrechte an Nic So lasst mich zu frieden Jch sehe euch vor eine	Frau
197677	147.xml	UN	1684	  Mops O ihr seht mich vor die unrechte an Nic So lasst mich zu frieden Jch sehe euch vor eine 	Frau	 an die Geld hat und die mir was abkauffen will Bin ich unrecht so will ich vor aller Welt um	Frau
197798	147.xml	UN	1684	  ausschicken Mops Kan ich davor daß ich auf gute Zeitungen warten muß Gel Jhr Luͤgen--Kraͤmer warum lasset ihr die ehrliche 	Frau	 warten Nic Jch will es mit meinem hoch--loͤblichen Auditorio beweisen daß die gute Frau nirgend ist aufgehalten worden Gel Wisset	Frau
197812	147.xml	UN	1684	  Luͤgen--Kraͤmer warum lasset ihr die ehrliche Frau warten Nic Jch will es mit meinem hoch--loͤblichen Auditorio beweisen daß die gute 	Frau	 nirgend ist aufgehalten worden Gel Wisset ihr auch was die Sache zu bedeuten hat wenn ein Bote aus dem Koͤniglichen	Frau
201300	147.xml	UN	1684	  noch heute eine Kuh und drey Kaͤlber vor Freuden g a Bav Gnaͤdigste Land--Richterin da will ich mich von meiner 	Frau	 scheiden und unser Richter der unbescheidene Mann will nicht Jm Briefe werdet ihr sehen was er vor ein Mann ist	Frau
201339	147.xml	UN	1684	  Mann ist Arg Helfft euch nicht selber der Sache soll geholffen werden Bav Jch begehre keine Huͤlffe Helfft nur der 	Frau	 nicht Mit den andern will ich zu rechte kommen geht ab Alop Da soll ich mehr Steuer geben als auf	Frau
207370	147.xml	UN	1684	  werde ich eben deßwegen etwas langsamer seyn damit ich den Namen nicht verdiene als waͤre ich erkaufft worden Virt Meine 	Frau	 hat keine Ursache den geringen Werth dieser Kleinodien zu ruͤhmen Solten die guten Dienste zu einigem Ausgange gedeyen so wuͤrde	Frau
208596	147.xml	UN	1684	  schoͤnste Jungfer verdienet Corn Wenn ich eine Jungfer waͤre so wuͤrde ich fragen warum neulich in unserm Lande die heßlichste 	Frau	 den schoͤnsten Mann bekommen hat Lib Ey ihr jungen Herren wie weit koͤmmt es mit euch Zu meiner Zeit waren	Frau
295212	217.xml	UN	1698	  mit Tuͤrckischen Phantasien behafft seyn welches Volck ein solches sauberes Paradeyß traumet darinn dem der den Alcoran tausendmahl durchlist eine 	Frau	 versprochen wird deren Augen so schoͤn als der Regenbogen Oder die endlich mit den Juden halten koͤnnen als die ihren	Frau
411842	237.xml	UN	1650	  Galla virum Eine der Gevatterinnen oder Gespielen so die Wittwe in ihrem Leid nach gewohnheit trösten wolte sprach Ach liebe 	Frau	 Gevatterin all euer trauern ist vergebens vnd vmbsonst ihr könt den Frommen Herren damit doch nicht wieder lebendig machen gebt	Frau
464323	247.xml	CB	1699	  die Voͤgel zu rechnen Denn er empfunde ja an seinem Leibe wol zu welchem Geschlecht er gehoͤrete un̅ inclinirte Seine 	Frau	 sagte auch Daß sie nichts maͤnnliches an ihm verspuͤrt Zeit waͤhrenden Ehestandes da er nun nach getriebener Hurerey sich gleichwol	Frau
505375	257.xml	EB	1664	  so belobt als beliebt zu machen pflegt fieng allbereits an aus deinen Waͤnglein lieblichst hervor#zublikken Die demuͤhtige Leutseeligkeit deiner Edlen 	Frau	 Mutter begunte schon durch manche suͤsse Schmeichelei bei dir hervor#zulachen und den ganzen Chor aller weiblichen Tugenden in dein Herz	Frau
30444	115.xml	CB	1557	  Potten lebendig begraben lassen vnd sy jre leut zu den Drewlianern abgeuerttigt mit solche̅ beuelch Souerr si Sy zu jrer 	Fraue̅	 vnd Fuͤrsstin haben woͤllen sollen sy merere vn̅ ehrlichere Potten zu jr senden Pald haben sy Fuͤnfftzig fuͤrnemblicher gesannt die	Frau
33274	115.xml	CB	1557	  erworben GABRIELN DEMETERN GEORGEN SIMEON vnd NA ANDREEN denen hat er noch lebendiger jre Erbschafften außgethailt Dem vo̅ der ersten 	fraue̅	 dem HANSEN das Großfuͤrstenthumb vorbehalten vnd nach ordnung bey seinem leben eingesetzt Dem GABRIEL Großneugartten vnnd dann ainem jeglichen seinen	Frau
324792	223.xml	CB	1490	  kleid`n beque̅lich od` aber leg an klaid` dein worte̅ zuͦgehoͤrig Ein thor jahe zuͦ Pÿthagora Jch woͤlt lieber beÿ schoͤne̅ 	fraue̅	 sein de̅n red halte̅ mit de̅ weisen Antwurt er Die schwei̅ lige̅ lieber jm kot de̅n i̅ ei̅ klare̅ wasser	Frau
19433	113.xml	CB	1445-1452	  kind auch mitbracht das was auch ain Sun Wann es mainen die weisen es sei die milch pesser von der 	frauͤn	 die ainen Sun bringt denn von ainer tochter Vnd dieselbigen frawn solten mit iͤren gnaden geczogen sein gen Prespurgkch vnd	Frau
26493	113.xml	CB	1445-1452	  gnad ain Vngrischer herr der hies Waidaviherrleich der het ainen brueder der was Abbt zu sand Merttenperg Nu pat meiner 	frauͤn	 gnad den herren Waidavi herleich daz er ir des geholfen wër gegen seinem brueder dem Abbt daz er ir sand	Frau
27739	113.xml	CB	1445-1452	  pat In daz er Dar ob wër daz man den armen leüten ir Viech widergëb dar an teͤt er meiner 	frauͤn	 gnad ain guet wolgeuallen vnd das wessiet ich wol wann dẏ armen leüt heten sich ettleich gehuldigt Da tet der	Frau
37844	115.xml	CB	1557	  haissen Wie die Großfürsten eingesetzt werden vnnd sonderlich der Demeter des Han̅sen Sun eingesetzt ist worden JN der mitte vnnser 	Frauen	 Khirchen ward ain Pün aufgericht darauff drey stuͤell gesetzt Dem alten großfuͤrsten dem jungen Vnd dem oͤbristen priester Metropolit Dan̅	Frau
37953	115.xml	CB	1557	  dem ainen großfuͦrste̅ Hannsen nach jrer gewonhait darnach so betten sy lautt Der Metropolit sampt der gaistlichkhait das gebet Vn̅ser 	Frauen	 vn̅d Sant Peters des Peichtigers den sy den wunderzaichner nennen Nach endung des gebets tretten der Metropolit der Alt vnnd	Frau
38944	115.xml	CB	1557	  geet der alt Großfuͤrst in sein gmach der Demetrj aber also mit der Barma vnd Huͦet gezierter geet auß vnnser 	Frauen	 Khirchen mit vil der Boyern vnnd des großfuͤrstn Suͦnen die in beglaitten in sant MichaelsKhirchen als er vndter der Thüer	Frau
39047	115.xml	CB	1557	  hat der Geórg den vndter der Thuͤr abermals mit gulden dengen besprengt von dan aber zuͦ einer andern Khirchen Vnser 	Frauen	 verkhindigung gangen daselbstn gleichermassen Jme die Briester den segen geben vnnd der Geórg mit dengen besprengt Nach solchem allem ist	Frau
73652	123.xml	UN	1486	  gab hat ir Phedria geschenckt das will er fürkomen und spricht es ist ain künigliche gab oder nun der mechtigen 	frauen	 deß glychen auch die moͤrin Ich bracht in zewegen Gestern hab ich fünfftzig pfunt pfennig umb sie baide gegeben dennocht	Frau
109907	127.xml	CB	1660	  war ein JubelJahr zu Rom vnd zogen von hier auff die Menschen dahin die Maͤnner kamen alle wider aber die 	Frauen	 blieben auß kam nicht eine zu ruck Jn diesem Jahr schickte die Statt Ortlieb Sengen nacher Oppenheim auff den StaͤttTag	Frau
324651	223.xml	CB	1490	  selbs site̅ boͤß ist d` ka̅ nit rede̅ d` nit waißt zeschweige̅ zwaj geschlaͤcht der zaͤher sein in augen d` 	frauen	 Dz ein geschlaͤcht ist des rechte̅ schmerczen Dz and` d` betrieglicheit vnd vntreü Dÿe geÿtigen sei̅d geleich den jungen eins	Frau
342551	227.xml	EB	1678	  vnd truge solches mit grosser Reverentz vnd Andacht neben besondern andaͤchtigen Lobgesaͤngeren in sein Thumb-- oder Hauptkirchen zu vnser lieben 	Frauen	 Wie er in die Thumbkirchen kommen vnd das H Sacrament in dem verboͤttschierten Byx-- oder Kaͤstlein auff den Altar gesetzt	Frau
343899	227.xml	EB	1678	  die gantze Tag alle Tag Taͤg Am Tag der heiligen Jungfrauen vnd Martyrin Agnes Taͤg Jm Hornung An vnser lieben 	Frauen	 Liechtmeßtag Taͤg Am Tag deß H Bischoffs vnd Martyrers Blasij Taͤg An deß H Apostels Mathiæ Tag Taͤg Jm Mertzen	Frau
464132	247.xml	CB	1699	  in Jtalien zugetragen Ein Teutscher Namens Daniel Burckhamer von Buchheim hatte sich fuͤr einen Soldaten unterhalten lassen und mit einer 	Frauen	 verehlichet der bringt gantz unvermuhteter Weise ein Kind zur Welt Wie er fuͤr die Obrigkeit gefuͤhret wird bekennt er daß	Frau
465193	247.xml	CB	1699	  Modenesischen Land--Strich Grafignana genannt auff den Graͤntzen von Modena und Lucca entstund ein Streit uͤber etliche Dotal--Guͤter einer gewissen vornehmen 	Frauen	 Daruͤber beyde Theile zum Gefecht kamen in welchem fuͤnff Grafignaner und zween Luckeser blieben Der Hertzog nimbt sich seiner Leute	Frau
502659	257.xml	EB	1664	'  Keyser hat auch Elffeldt gebauwet welches alles ist geschehen Anno Christi '' Abdankung Bei Christlicher Beerdigung Der Erbarn und Viel--Tugend--samen '	Frauen	 Barbaren Des Wohl--Ehrenvesten Vorachtbarn und Wohlgelahrten Hn Heinrich Krullen JC und beruͤhmten Practici damahls in Weinmar Herzliebst--gewesenen Haus--frauen Daselbst gehalten	Frau
502688	257.xml	EB	1664	  Krullen JC und beruͤhmten Practici damahls in Weinmar Herzliebst--gewesenen Haus--frauen Daselbst gehalten im Jahr Christi den Augusti Hochansehnliche Herren Tugendbegabte 	Frauen	 und Jungfrauen Gleich wie die Geschichtschreiber von den maͤchtigen Perser--Lande uns allerhand wunderseltzame Dinge berichten also schreiben sie absonderlich daß	Frau
504355	257.xml	EB	1664	  Senioris und selbiger Zeit Decani Liebgearteten Juͤngsten Toͤchterleins Gehalten in Jena den Merzens im Jahr Hochansehnliche Großguͤnstige Herren Tugendbegabte Ehrengeneigte 	Frauen	 und Jungfrauen Geehrteste Anwesende ALs vor Zeiten ein Heidnisches Oraculum befraget wurde Wo wohl der Mensch die meiste Weisheit lernen	Frau
507077	257.xml	EB	1664	  Professoris Publici Juͤngst--gebohrnen Herzliebsten Toͤchterleins Den Merzens im Jahr Christi gehalten in Jena Hoͤchst-- und Hochansehnliche Herren Groß-- und Ehren--geneigte 	Frauen	 und Jungfrauen Allerseits Geehrteste Anwesende JCh muß sein wie einer der seiner Kinder gar beraubet ist Joseph ist dahin Simeon	Frau
510728	257.xml	EB	1664	  Maͤchtige Patroni Hochgeehrte Praeceptores Grosse Foͤrderer auch Edle und Vielberuͤhmte Studiosi Geehrte Herren Guͤnstige Freunde so wohl Wohl--Edle Hoch--Ehr-- und Tugendbegabteste 	Frauen	 und Jungfrauen Allerseits Hochwehrteste Aufmerker WAnn wir auf den Stand und Beschaffenheit begabter und treuer Lehrer uff hohen Schulen die	Frau
15109	113.xml	CB	1445-1452	  vor bei der Juͤngen KungInn Do komen die Junkchfrawn ich solt pald aufsten es pruͤn in dem gwelb do meiner 	fraun	 gnad Inne laͤg Ich erkam gar hart vnd stuend pald auf vnd eilat in den gmach do was es voller	Frau
15258	113.xml	CB	1445-1452	  als vor Aber es waren der sigel nicht als vil als vor Do nuͤ das geschehen was da sandt meiner 	fraun	 gnad zu graf Joͤrgen von Poͤsing vnd vordert die Sluͤssel zu der Plintenpurg das wolten die Vngrischen herren also haben	Frau
15417	113.xml	CB	1445-1452	  mit einander redten do kam her Laslawan vnd auch sein purggraue vnd sprach " gnedige fraw ir solt mit der 	fraun	 schaffen daz si nyͤmpt in dew Kamer lasz vnd auch meinen purkgrafen " Do ward ir gnad guetlich antburtten vnd	Frau
16048	113.xml	CB	1445-1452	  Si dester mẏnner solten gedenken daz Si stelliet nach der heiligen kron Do nam die edl KungInn ir Jungste tochter 	fraun	 Elizabeten ab dem haws zu ir in den hof vnd mich mit ir vnd zwo Junkchfraün vnd lies die andern	Frau
16698	113.xml	CB	1445-1452	  ward do hueb er sich auf vnd rait da hin ge Krabaiten vnd die sach muesaten lenger angesten vnd meiner 	fraun	 gnad was trawrig daz der daẏg vmb die sach nuͤ wessat vnd Ich was auch in grossen sorgen aber es	Frau
16949	113.xml	CB	1445-1452	  den sin daz nyͤmant anders ain slos da hin moͤcht geslahen vnd do wiͤr nu berait wuerden Do sandt meiner 	fraun	 gnad ainen poten ains voran hin auf die Plintpurg vnd tat dem purkgrafen vnd hern Francz von Poͤker vnd Weitvilassla	Frau
17589	113.xml	CB	1445-1452	  im die vnd gab im auch die Slos die man wider an solt slahen vnd gab im auch meiner gnedigen 	fraun	 klains sigel da mit man wider zu solt sigelen vnd gab im auch die drey sluͤssel die zu der vodern	Frau
17722	113.xml	CB	1445-1452	  mit grossen angsten vnd sorgen vnd ich knyͤat nider mit grasser andacht vnd pat hincz got vnd hincz vnser lieben 	fraun	 daz Si mir vnd meinen helfëren beigestuͤnden Doch het ich grosser sarg vmb mein sel dann vmb mein leben Vnd	Frau
17892	113.xml	CB	1445-1452	  mer Do gedacht ich mir wol es wër ain gespenst vnd gie wider an mein gepet vnd verhies vnser lieben 	fraun	 ain fart gen Zell mit parfuessen fuessen vnd die weil ich die fart nicht laistet die weil wolt ich an	Frau
17930	113.xml	CB	1445-1452	  wolt ich an der Sambstagnacht nicht auf vedern ligen vnd sprich auch all Sambstagnacht die weil ich leb vnser lieben 	fraun	 ain besunder gepet Vnd dannkch iͤren gnaden die Si mit miͤr getan hat Vnd ich bit Si daz Si iͤren	Frau
18411	113.xml	CB	1445-1452	  heten die Junkchfrawn ain alte frawͤn die bei in dienat da het meiner frawn gnad nëmleich geschaft man solt diselbig 	fraun	 beczalen vmb iren sold vnd solt syͤ da hinden lassen daz Sy wider haimfuͤr gen Ofen Da nu die fraw	Frau
19534	113.xml	CB	1445-1452	  was alles berait Da ich mit der edeln KungInn also redat do ward miͤr iͤr gnad sagen wie sie dy 	fraun	 von Ofen gepetten hieten in ainer wannen vnd wie ir nach dem pad gar swër wer worden Do hueb ich	Frau
20571	113.xml	CB	1445-1452	  solt in Kung Albrecht haben gehaissen durch seins vaters willen der so gar ain frumer Kunig ist gewesen Aber meiner 	fraun	 gnad het das verhaissen got vnd dem heiligen Kung sand Lassla Vnd het ir oppher gen Wardein gesant vnd het	Frau
21211	113.xml	CB	1445-1452	  da vnd auch ettleich grafen vnd herren Vnd kam auch ain Behemischer herr der hiess Smikoczkẏ Do er zu meiner 	fraun	 gnaden kam Da sach er den Jungen Kung Lasslaen in der wiegen Do gieng er hin zue vngefordert vnd knẏat	Frau
21650	113.xml	CB	1445-1452	  ander ir hofgesind des nachts spat vͤber dẏ Tuenaw farn Des morgens fruͤe als der tag anprach do stuend meiner 	fraun	 gnad auf vnd ich nam ain Windtliecht vnd giengen mitenander auf dẏ maur in ain Zẏmmer vnd wolten sehen wie	Frau
21978	113.xml	CB	1445-1452	  er wolt es geren tuͤen doch also daz Si den Matkoban vnd den Waidavembreich ledig liess Dẏ antburtt geviel meiner 	fraun	 gnaden wol vnd het nuͤ sorg ir veter her Lasslaban der wuerd ir vngunstig darumb daz Si dẏ Heiligen kran	Frau
22247	113.xml	CB	1445-1452	  dem ersten anfankch vnd gegen dem ennd Nicht lang dar nach do kam der von der Freinstat Waidamiclosch zu meiner 	fraun	 gnad vnd mainat er wolt iren gnaden vast dienenn vnd da gab im ir gnad Weissenburg In Nicht lang darnach	Frau
22302	113.xml	CB	1445-1452	  willen gen Ofen als es dann geschach vnd muͤsten vns haimlich vnd eylund zurichten zu der krönung Da sandt meiner 	fraun	 gnad gen Ofen vmb ain guldein tuech dem Kung Lassla zu dem gebant das zu der krönung gehorat Da was	Frau
22738	113.xml	CB	1445-1452	  hiet sein leben vmb seinen willen lassen aufgen Da nuͤ das hofgesind zu einander was das zu Weissenburg mit meiner 	fraun	 gnad ziehen solt Do sandt iͤr gnad zu dem Erczbischoue zu Gran daz er këm vnd zug mit ir gen	Frau
23033	113.xml	CB	1445-1452	  vinster nacht vnd beliben da vber nacht Smorgens hueb ich mich vor an hin mit dem Jungen Kung Vnd meiner 	fraun	 gnad die pelaib da hinden mit iͤr Jungsten tochter Wann iͤr gnad het zu schaffen mit dem grossen grafen Der	Frau
23172	113.xml	CB	1445-1452	  gar vil Wann es was freytag Mai vnd was guͤt vasten vnd beliben da vber nacht Vnd wartaten daz meiner 	fraun	 gnad auch zu vns kam Vnd zugen dahin gen Weissenburgk Do wiͤr schiͤr hin#zukomen Do rait der von der Freinstat	Frau
23458	113.xml	CB	1445-1452	  Jungen Kung zu dem kor Do was die tuͤer an dem kor zuͤgeslossen Vnd die Purgër warn Innerthalb vnd meiner 	fraun	 gnad die was ausserthalb der Tuͤer mit iͤrem Sun dem edlen Kung vnd meiner fraun gnad die redat vngrischen mit	Frau
23473	113.xml	CB	1445-1452	  Purgër warn Innerthalb vnd meiner fraun gnad die was ausserthalb der Tuͤer mit iͤrem Sun dem edlen Kung vnd meiner 	fraun	 gnad die redat vngrischen mit in vnd die purgër des gleichen antburtten vngrischen iͤren gnaden her wider aws Also daz	Frau
23538	113.xml	CB	1445-1452	  nuͤ das volbracht ward nach irer alten gewonhait do teten sẏ dẏ tuͤer auf vnd liessen iͤren naturleichen herren vnd 	fraun	 hinin vnd auch dẏ andern die dar zu geordent worden geistlich vnd weltlich Vnd die Jung KungInn Junkchfraw Elizabeth die	Frau
25607	113.xml	CB	1445-1452	  ettwas da dar Inn man dem edelen Kunig sein mues machiet vnd da west nyͤmant vmb die czeit dann meiner 	fraun	 gnad vnd ich Vnd da wier nuͤ berait waren in die rais her auf in das Lant gen Rab Da	Frau
26421	113.xml	CB	1445-1452	  so lies der edel Kung von dem waẏnen Vnd waren die zeit vil herren zu Rab Vnd wann dann meiner 	fraun	 gnad ettwas genoͤtigs het zu schaffen in haymeleichen rat so sandt ir gnad nach herczog Albrechten vnd nach dem von	Frau
26715	113.xml	CB	1445-1452	  gen Odenburgk fueren vnd rieten ettleich rieten man solt in auf den Vorchttenstain fueren Vnd rieten man solt Mein Junge 	fraun	 zu Rab lassen Vnd wurden iren genaden mein man der Kottannër zugeschaft vnd er muͤst auch sweren auf dem heiltam	Frau
26747	113.xml	CB	1445-1452	  zugeschaft vnd er muͤst auch sweren auf dem heiltam als zu Vngern gewoͤnhait ist Vnd rieten auch die herren meiner 	fraun	 [fra] gnad Si solt zu Prespurg sein Do sprach dẏ edel kungin zu miͤr " wie rat ir liebe Kottannerinn	Frau
26859	113.xml	CB	1445-1452	  dinst vnd dẏ sorg vil swërer wuͤrd dann vor darumb daz ich nicht sein solt in der anschaw meiner gnedigen 	fraun	 nuͤ warn ettleich dar an man solt den edeln kung gen Trentsch fuern do wër es genugsam sicher vnd was	Frau
27041	113.xml	CB	1445-1452	  kron gan Vngern vnd wër auch ain slussel zu dem lant vnd diselb [zeit] stat zu Odenburgk die het meiner 	fraun	 gnad vnd graf Vlrich von Zilẏ diselb zeit Inn Vnd bei demselben rat do bestund es bei Da ward dem	Frau
27157	113.xml	CB	1445-1452	  So was ich elena Kottannerinn mit der Amm selbvierde frawnspild vnd ich kam vngern in die Rais vnd ward meiner 	fraun	 gnad mein notduͤrft vast erczellen Da gab miͤr iͤr gnad vil schoner red vnd guten trost vnd sprach " fart	Frau
27504	113.xml	CB	1445-1452	  der edel vnd der getrew her Vlrich von Eyczing zu miͤr vnd sprach " wie rat iͤr liebe Kottannerinn meiner 	fraun	 gnad hat geschaft wiͤr solten in dem nagsten dorff beleiben vnd das was des grossen grafen vnd ist auch nyͤmant	Frau
27976	113.xml	CB	1445-1452	  nuͤ schier zu Odenburgk komen do gieng man mit dem heiltumb aus der Stat vnd ain michel volkch mit von 	fraun	 vnd von manen dem edelen kung entgegen vnd enphiengen In als iͤren naturlichen herren vnd da wir nu gen Oͤdenburgk	Frau
28106	113.xml	CB	1445-1452	  vnd darumb ward wir vast betrübt was vnsers hofgesindes wär Wann wir westen wol daz es meines herren vnd meiner 	fraun	 grosser schad wër an lant vnd an leẅten Vnd nicht lang darnach da kamen vns aber laẏdige mër Wie der	Frau
113734	131.xml	KT	Ende 14.Jh.	  gab minnet vnde niht zv got minnet denn daz si in dvrch got minnet zv gleicher weis als ain frvme 	frauw	 kevsch beleibt oder haizzet dev irem wirt nieman minnet Noch irn wirt minnet vmb kain gab svnder durch trewe vnd	Frau
119231	131.xml	KT	Ende 14.Jh.	  er vns mit im niht geben het als ob man sprech niht vnd da vo̅ stet geschriben in dem puch 	frauw	 hester ain klain brunlein ist gewahsen in ain grozs wazzer wann ditz klain brvͤnlein an diemut in vns wehset in	Frau
280142	215.xml	EB	1578	  der gstalt deß gottsdiensts Isidis hat zuͦgetragen Dann es was zuͦ Rom ein edle from̅e eerliche darzuͦ ryche junge schoͤne 	frauw	 die hieß Paulina was Saturnino einem fürnem̅en eerlichen burger vermaͤchlet deren ward Decius Mundus ein fürnemmer jüngling von der Ritterschafft	Frau
280602	215.xml	EB	1578	  waͤre Sy kondtend es nit wol glauben diewyls der sach nit glych sach noch diewyl sy ein waarhaffte eersame züchtige 	frauw	 was verwundertend sy sich ab jren reden Darnach über dry tag als dises vergangen was stieß Mundus an sy auff	Frau
280761	215.xml	EB	1578	  er die pfaffen die grossen betrieger hencke̅ lassen deßglychen Jden die ein fürnem̅e schuld an dem truͦg das die guͦt 	frauw	 gschendt ward Hat den tempel lassen schlyssen vn̅ das bild Jsidis gheissen in die Tiber werffen Mundum aber hat er	Frau
282142	215.xml	EB	1578	  kam ein anderer jn wysser frauwenkleidung zeiget an er waͤr Sant Barbara deren er flyssig gedienet vnd wurde jm vnser 	frauw	 erschynen vnd vff die fragstuck antwort geben die jm der Laͤßmeister vorhin an einem brieff gebe̅ hat dise falsche Barbara	Frau
283058	215.xml	EB	1578	  vnd man gaͤbe jm dann zuͦuor das heilig Sacrament Die selbe̅ Radtsherren wurdend beschickt der bruͦder zeigt jnen an vnser 	Frauw	 beweinete der statt vndergang darum̅ daß sy pensionen naͤmind vnd die Barfuͦsser die jren ein erdichte eer von der vnbefleckten	Frau
283646	215.xml	EB	1578	  vnsers Herren Christi geburt jar habend die Barfuͦsser zuͦ Orliens in Franckrych ein wunderbar spil angefangen Deß Stattuogts oder Schultheissen 	frauw	 in der selben statt hat in jrem Testament befolhen daß man sy on allen pomp vnd pracht zuͦ grab tragen	Frau
283696	215.xml	EB	1578	  fürnemmer mann zuͦ Pariß Anno im Augusto als er sterben wolt den sinen befolhen hat Jr Eemann diewyl jm die 	frauw	 lieb was wolt jren letsten willen nit braͤchen gab den Barfuͦssere̅ in welcher kilchen sy zuͦ jrem vatter vnd großvatter	Frau
